8888,856,88,9999
8888,862,84,9999
8888,866,78,9999
8888,870,74,9999
8888,879,66,9999
8888,883,62,9999
8888,887,60,9999
8888,895,53,9999
8888,899,49,9999
8888,903,45,9999
8888,909,41,9999
8888,919,35,9999
8888,928,27,9999
8888,936,23,9999
8888,948,15,9999
8888,954,11,9999
8888,962,9,9999
8888,971,6,9999
8888,979,6,9999
8888,983,6,9999
8888,989,11,9999
8888,995,15,9999
8888,999,19,9999
8888,1003,25,9999
8888,1005,31,9999
8888,1009,39,9999
8888,1013,47,9999
8888,1013,58,9999
8888,1013,35,9999
8888,1022,33,9999
8888,1030,31,9999
8888,1042,29,9999
8888,1050,31,9999
8888,1058,37,9999
8888,1063,43,9999
8888,1067,53,9999
8888,1067,60,9999
8888,1069,68,9999
8888,1069,76,9999
8888,1075,62,9999
8888,1083,62,9999
8888,1091,64,9999
8888,1095,70,9999
8888,1099,78,9999
8888,1099,84,9999
8888,1095,92,9999
8888,1091,101,9999
8888,1089,105,9999
8888,1085,111,9999
8888,1079,115,9999
8888,1075,121,9999
8888,1069,125,9999
8888,1063,131,9999
8888,1058,135,9999
8888,1050,137,9999
8888,1046,141,9999
8888,1040,143,9999
8888,1034,150,9999
8888,1030,152,9999
8888,1026,154,9999
8888,1018,158,9999
8888,1009,162,9999
8888,1003,164,9999
8888,995,170,9999
8888,993,178,9999
