88888,623,396,1366,99999
88888,617,400,1362,99999
88888,613,404,1358,99999
88888,609,408,1354,99999
88888,605,414,1348,99999
88888,598,419,1343,99999
88888,590,429,1333,99999
88888,588,435,1327,99999
88888,582,439,1323,99999
88888,686,388,1374,99999
88888,690,392,1370,99999
88888,697,396,1366,99999
88888,701,400,1362,99999
88888,707,406,1356,99999
88888,713,412,1350,99999
88888,717,419,1343,99999
88888,723,425,1337,99999
88888,729,433,1329,99999
88888,737,443,1319,99999
88888,744,453,1309,99999
88888,746,459,1303,99999
88888,556,482,1280,99999
88888,339,441,1321,99999
88888,539,502,1260,99999
88888,357,517,1245,99999
88888,811,480,1282,99999
88888,1024,451,1311,99999
88888,813,506,1256,99999
88888,1022,543,1219,99999
